cusip,investmentdiscretion,nameofissuer,othermanager,putcall,shrsorprnamt,titleofclass,value,votingauthority
10948W103,SOLE,ACADIAN ASSET MANAGEMENT INC,1,,,COM,14645497,
G1151C101,SOLE,ACCENTURE PLC IRELAND,1,,,SHS CLASS A,22494163,
00090Q103,SOLE,ADT INC DEL,1,,,COM,9558954,
N00985106,SOLE,AERCAP HOLDINGS NV,1,,,SHS,95529213,
018802AC2,SOLE,ALLIANT ENERGY CORP,1,,,NOTE 3.875% 3/1,88556311,
020002101,SOLE,ALLSTATE CORP,1,,,COM,14266840,
02005N100,SOLE,ALLY FINL INC,1,Put,,COM,38950000,
02005N100,SOLE,ALLY FINL INC,1,,,COM,15821490,
02079K305,SOLE,ALPHABET INC,1,,,CAP STK CL A,4752923,
023135106,SOLE,AMAZON COM INC,1,,,COM,83995217,
G0260P102,SOLE,AMER SPORTS INC,1,,,COM SHS,24259496,
026948109,SOLE,AMERICAN INTEGRITY INS GROUP,1,,,COM,735600,
H2927K103,SOLE,AMRIZE LTD,1,,,SHS,19324500,
032654105,SOLE,ANALOG DEVICES INC,1,,,COM,10996524,
037833100,SOLE,APPLE INC,1,,,COM,4335447,
037833100,SOLE,APPLE INC,1,Call,,COM,41034000,
037833100,SOLE,APPLE INC,1,Put,,COM,15387750,
038222105,SOLE,APPLIED MATLS INC,1,,,COM,15288725,
03852U106,SOLE,ARAMARK,1,,,COM,64902352,
G33033104,SOLE,ARES ACQUISITION CORP II,1,,,SHS CLASS A,10197000,
G05384501,SOLE,ASPEN INSURANCE HOLDINGS LTD,1,,,ORD SHS CL A,3776400,
01741R102,SOLE,ATI INC,1,,,COM,31315086,
049468101,SOLE,ATLASSIAN CORPORATION,1,,,CL A,5601425,
05368X102,SOLE,AVIDXCHANGE HOLDINGS INC,1,,,COM,20358961,
05478C105,SOLE,AZEK CO INC,1,,,CL A,20863117,
077454106,SOLE,BELDEN INC,1,,,COM,2490279,
08659B102,SOLE,BETA BIONICS INC,1,,,COM,364000,
088929104,SOLE,BGC GROUP INC,1,,,CL A,36871283,
09239BAF6,SOLE,BLACKLINE INC,1,,,NOTE 1.000% 6/0,29806016,
