cik,accession,form,filing_date,period_of_report,company_name
0001029160,0000902664-25-005044,13F-HR,2025-11-14,2025-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-25-003648,13F-HR,2025-08-14,2025-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-25-002391,13F-HR,2025-05-15,2025-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-25-001069,13F-HR,2025-02-14,2024-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-24-006588,13F-HR,2024-11-14,2024-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-24-005131,13F-HR,2024-08-14,2024-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-24-003649,13F-HR,2024-05-15,2024-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-24-001751,13F-HR,2024-02-14,2023-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-23-005529,13F-HR,2023-11-14,2023-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-23-004378,13F-HR,2023-08-11,2023-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-23-003018,13F-HR,2023-05-12,2023-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-23-001566,13F-HR,2023-02-13,2022-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-22-004896,13F-HR,2022-11-14,2022-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-22-003931,13F-HR,2022-08-12,2022-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-22-002935,13F-HR,2022-05-13,2022-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-22-001549,13F-HR,2022-02-11,2021-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-21-004929,13F-HR,2021-11-12,2021-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-21-003849,13F-HR,2021-08-13,2021-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-21-002758,13F-HR,2021-05-14,2021-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-21-001434,13F-HR,2021-02-16,2020-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-20-003949,13F-HR,2020-11-13,2020-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0000902664-20-003072,13F-HR,2020-08-14,2020-06-30,SOROS FUND MANAGEMENT LLC
0001029160,0001567619-20-010474,13F-HR,2020-05-15,2020-03-31,SOROS FUND MANAGEMENT LLC
0001029160,0001567619-20-003954,13F-HR,2020-02-14,2019-12-31,SOROS FUND MANAGEMENT LLC
0001029160,0001567619-19-021542,13F-HR,2019-11-14,2019-09-30,SOROS FUND MANAGEMENT LLC
0001029160,0001567619-19-016963,13F-HR,2019-08-14,2019-06-30,SOROS FUND MANAGEMENT LLC
